lowerBound,upperBound,HourOfDay,BucketMinuteOfHour,DayOfWeek,combo
15,15,00,15,Monday,"splunksearch02-exec-main"
0,0,00,15,Monday,"splunksearch02-stash-main"
15,15,00,15,Monday,"splunksearch03-exec-main"
"313.7230674612044","1616.2769325387956",00,15,Monday,"usesplunkdeploy01-stream:ip-main"
0,0,00,15,Monday,"usesplunkfwd01-detectify_findings-main"
15,15,00,15,Monday,"usesplunkfwd01-exec-main"
0,0,00,15,Saturday,"34.193.54.29:8088-httpevent-main"
0,0,00,15,Saturday,"splunkes01-ess_content_importer-main"
"308.92507018097220","389.07492981902780",00,15,Saturday,"splunkes01-stream:ip-main"
15,15,00,15,Saturday,"splunksearch01-exec-main"
15,15,00,15,Saturday,"splunksearch02-exec-main"
0,0,00,15,Saturday,"splunksearch02-stash-main"
15,15,00,15,Saturday,"splunksearch03-exec-main"
"144.4408384435334","1753.5591615564667",00,15,Saturday,"usesplunkdeploy01-stream:ip-main"
0,0,00,15,Saturday,"usesplunkfwd01-detectify_findings-main"
15,15,00,15,Saturday,"usesplunkfwd01-exec-main"
0,0,00,15,Sunday,"34.193.54.29:8088-httpevent-main"
0,0,00,15,Sunday,"splunkes01-ess_content_importer-main"
"304.81358594376140","337.18641405623860",00,15,Sunday,"splunkes01-stream:ip-main"
15,15,00,15,Sunday,"splunksearch01-exec-main"
15,15,00,15,Sunday,"splunksearch02-exec-main"
0,0,00,15,Sunday,"splunksearch02-stash-main"
15,15,00,15,Sunday,"splunksearch03-exec-main"
"343.27338358312886","1564.72661641687110",00,15,Sunday,"usesplunkdeploy01-stream:ip-main"
0,0,00,15,Sunday,"usesplunkfwd01-detectify_findings-main"
15,15,00,15,Sunday,"usesplunkfwd01-exec-main"
0,0,00,15,Thursday,"34.193.54.29:8088-httpevent-main"
0,0,00,15,Thursday,"splunkes01-ess_content_importer-main"
"310.26498603890230","373.73501396109770",00,15,Thursday,"splunkes01-stream:ip-main"
15,15,00,15,Thursday,"splunksearch01-exec-main"
15,15,00,15,Thursday,"splunksearch02-exec-main"
0,0,00,15,Thursday,"splunksearch02-stash-main"
15,15,00,15,Thursday,"splunksearch03-exec-main"
"379.5326095362702","1644.4673904637298",00,15,Thursday,"usesplunkdeploy01-stream:ip-main"
0,0,00,15,Thursday,"usesplunkfwd01-detectify_findings-main"
"15.3333333333332380","16.6666666666667600",00,15,Thursday,"usesplunkfwd01-exec-main"
0,0,00,15,Tuesday,"34.193.54.29:8088-httpevent-main"
0,0,00,15,Tuesday,"splunkes01-ess_content_importer-main"
"306.543415044643150","399.456584955356850",00,15,Tuesday,"splunkes01-stream:ip-main"
15,15,00,15,Tuesday,"splunksearch01-exec-main"
15,15,00,15,Tuesday,"splunksearch02-exec-main"
0,0,00,15,Tuesday,"splunksearch02-stash-main"
15,15,00,15,Tuesday,"splunksearch03-exec-main"
"291.3846868430734","1592.6153131569267",00,15,Tuesday,"usesplunkdeploy01-stream:ip-main"
0,0,00,15,Tuesday,"usesplunkfwd01-detectify_findings-main"
15,15,00,15,Tuesday,"usesplunkfwd01-exec-main"
0,0,00,15,Wednesday,"34.193.54.29:8088-httpevent-main"
0,0,00,15,Wednesday,"splunkes01-ess_content_importer-main"
"300.765479094747400","383.234520905252600",00,15,Wednesday,"splunkes01-stream:ip-main"
15,15,00,15,Wednesday,"splunksearch01-exec-main"
15,15,00,15,Wednesday,"splunksearch02-exec-main"
0,0,00,15,Wednesday,"splunksearch02-stash-main"
15,15,00,15,Wednesday,"splunksearch03-exec-main"
"913.998257876733400","996.001742123266600",00,15,Wednesday,"usesplunkdeploy01-stream:ip-main"
0,0,00,15,Wednesday,"usesplunkfwd01-detectify_findings-main"
15,15,00,15,Wednesday,"usesplunkfwd01-exec-main"
0,0,00,30,Friday,"34.193.54.29:8088-httpevent-main"
0,0,00,30,Friday,"splunkes01-ess_content_importer-main"
"300.349730081531050","381.650269918468950",00,30,Friday,"splunkes01-stream:ip-main"
15,15,00,30,Friday,"splunksearch01-exec-main"
15,15,00,30,Friday,"splunksearch02-exec-main"
0,0,00,30,Friday,"splunksearch02-stash-main"
15,15,00,30,Friday,"splunksearch03-exec-main"
"340.3560896438791","1575.6439103561210",00,30,Friday,"usesplunkdeploy01-stream:ip-main"
0,0,00,30,Friday,"usesplunkfwd01-detectify_findings-main"
15,15,00,30,Friday,"usesplunkfwd01-exec-main"
0,0,00,30,Monday,"34.193.54.29:8088-httpevent-main"
0,0,00,30,Monday,"splunkes01-ess_content_importer-main"
"312.636514414765300","371.363485585234700",00,30,Monday,"splunkes01-stream:ip-main"
15,15,00,30,Monday,"splunksearch01-exec-main"
15,15,00,30,Monday,"splunksearch02-exec-main"
0,0,00,30,Monday,"splunksearch02-stash-main"
15,15,00,30,Monday,"splunksearch03-exec-main"
"305.88699771723270","1596.11300228276740",00,30,Monday,"usesplunkdeploy01-stream:ip-main"
0,0,00,30,Monday,"usesplunkfwd01-detectify_findings-main"
15,15,00,30,Monday,"usesplunkfwd01-exec-main"
0,0,00,30,Saturday,"34.193.54.29:8088-httpevent-main"
0,0,00,30,Saturday,"splunkes01-ess_content_importer-main"
315,395,00,30,Saturday,"splunkes01-stream:ip-main"
15,15,00,30,Saturday,"splunksearch01-exec-main"
15,15,00,30,Saturday,"splunksearch02-exec-main"
0,0,00,30,Saturday,"splunksearch02-stash-main"
15,15,00,30,Saturday,"splunksearch03-exec-main"
"158.49740603728150","1775.50259396271850",00,30,Saturday,"usesplunkdeploy01-stream:ip-main"
0,0,00,30,Saturday,"usesplunkfwd01-detectify_findings-main"
15,15,00,30,Saturday,"usesplunkfwd01-exec-main"
0,0,00,30,Sunday,"34.193.54.29:8088-httpevent-main"
0,0,00,30,Sunday,"splunkes01-ess_content_importer-main"
"308.144423129101000","371.855576870899000",00,30,Sunday,"splunkes01-stream:ip-main"
15,15,00,30,Sunday,"splunksearch01-exec-main"
15,15,00,30,Sunday,"splunksearch02-exec-main"
0,0,00,30,Sunday,"splunksearch02-stash-main"
15,15,00,30,Sunday,"splunksearch03-exec-main"
"349.6346653188164","1568.3653346811836",00,30,Sunday,"usesplunkdeploy01-stream:ip-main"
0,0,00,30,Sunday,"usesplunkfwd01-detectify_findings-main"
15,15,00,30,Sunday,"usesplunkfwd01-exec-main"
